system,gender,variant,mean_brier
gold,M,gold_linear@none,0.1834399268047153
gold,M,gold_linear@none,0.1834399268047153
gold,M,gold_linear@none,0.1835803658832417
gold,M,gold_xgb_spread_light@isotonic_gender,0.1847120471189936
gold,M,gold_linear@isotonic_gender,0.1848659312518592
gold,M,gold_linear@isotonic_gender,0.1851332269874215
gold,M,gold_linear@isotonic_gender,0.1851332269874215
gold,M,gold_harry_lr@none,0.1856179174452735
gold,M,gold_harry_lr@isotonic_gender,0.1868234644957714
gold,M,gold_harry_xgb_spread@isotonic_gender,0.1870444990817709
gold,M,gold_xgb_spread_light@none,0.1978850861244964
gold,M,gold_harry_xgb_spread@none,0.1983212270437485
gold,W,gold_linear@none,0.1398056399617207
gold,W,gold_linear@none,0.13989402065651
gold,W,gold_linear@none,0.13989402065651
gold,W,gold_linear@isotonic_gender,0.1403999817763908
gold,W,gold_linear@isotonic_gender,0.1405536318804791
gold,W,gold_linear@isotonic_gender,0.1405536318804791
gold,W,gold_xgb_spread_light@isotonic_gender,0.1461263581073326
gold,W,gold_harry_lr@isotonic_gender,0.1465908312638125
gold,W,gold_harry_lr@none,0.1467280529495579
gold,W,gold_harry_xgb_spread@isotonic_gender,0.1491715933553717
gold,W,gold_harry_xgb_spread@none,0.1734264303888396
gold,W,gold_xgb_spread_light@none,0.1739116447542468
hc_current,M,final_prob,0.18258136554850543
hc_current,W,final_prob,0.13796919817746067
ji_base,M,JI_lr_control@none,0.1839803839030605
ji_base,M,JI_lr_control@none,0.1839803839030605
ji_base,M,JI_lr_control@none,0.1839803839030605
ji_base,M,JI_lr_control@none,0.1839803839030605
ji_base,M,JI_lr_control@none,0.1839803839030605
ji_base,M,JI_lr_control@none,0.1839803839030605
ji_base,M,JI_lr_control@none,0.1842102554469599
ji_base,M,JI_lr_control@none,0.1842102554469599
ji_base,M,JI_lr_control@none,0.1842102554469599
ji_base,M,JI_lr_control@none,0.1844337984389584
ji_base,M,JI_lr_control@none,0.1844337984389584
ji_base,M,JI_lr_control@none,0.1844337984389584
ji_base,M,JI_lr_control@none,0.1844421654018583
ji_base,M,JI_lr_control@none,0.185031638893411
ji_base,M,JI_lr_control@none,0.185031638893411
ji_base,M,JI_lr_control@none,0.1852731469208783
ji_base,M,JI_lr_control@isotonic_gender,0.1854618824302157
ji_base,M,JI_spread_xgb@none,0.1855123505585625
ji_base,M,JI_spread_xgb@isotonic_gender,0.1857508761096841
ji_base,M,JI_lgb_control@isotonic_gender,0.1925181491316816
ji_base,M,JI_lgb_control@none,0.1962432783656055
ji_base,W,JI_lr_control@none,0.1436684895817469
ji_base,W,JI_lr_control@none,0.1436915239387308
ji_base,W,JI_lr_control@none,0.1437107336359529
ji_base,W,JI_lr_control@none,0.1437107336359529
ji_base,W,JI_lr_control@none,0.1437107336359529
ji_base,W,JI_lr_control@none,0.1437274245197188
ji_base,W,JI_lr_control@none,0.1437283525904749
ji_base,W,JI_lr_control@none,0.1438147923248805
ji_base,W,JI_lr_control@none,0.1438327259972517
ji_base,W,JI_lr_control@none,0.143833332752866
ji_base,W,JI_lr_control@none,0.1438777608204087
ji_base,W,JI_lr_control@none,0.1439141861049114
ji_base,W,JI_lr_control@none,0.1440464452877283
ji_base,W,JI_lr_control@none,0.1441685449507082
ji_base,W,JI_lr_control@none,0.1442162696795857
ji_base,W,JI_lr_control@none,0.1443514448822154
ji_base,W,JI_lr_control@isotonic_gender,0.1453769869496823
ji_base,W,JI_spread_xgb@none,0.1454212251791527
ji_base,W,JI_spread_xgb@isotonic_gender,0.1463806944310805
ji_base,W,JI_lgb_control@isotonic_gender,0.1546704349298673
ji_base,W,JI_lgb_control@none,0.1619786209213364
old_ablation,M,stats_fallback,0.18703684579561838
old_ablation,M,legacy_anchor,0.19228207391508118
old_ablation,M,market_only,0.19434588760930818
old_ablation,M,market_plus_stats,0.20100420662805019
old_ablation,W,legacy_anchor,0.13836193317689877
v2,M,spread-linear:none@base+basecal,0.1839969338864385
v2,M,spread-linear:sportsbook@external_base_pruned+basecal,0.1851671218255822
v2,M,spread-linear:none@external_base_pruned+basecal,0.1852781089267597
v2,W,spread-linear:none@base+basecal,0.1390089972359337
v2,W,spread-linear:sportsbook@external_base_pruned+basecal,0.1419548149465612
v2,W,spread-linear:none@external_base_pruned+basecal,0.1419590978265131
